area_of_activity,country,end_day,end_month,end_year,eruption_category,eruption_number,evidence_category,evidence_method_dating,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,start_day,start_month,start_year,subregion,tectonic_settings,vei,volcano_name,volcano_name (eruptions.csv),volcano_number,volcano_number (eruptions.csv),Area_sq_miles,elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
NA,El Salvador,NA,NA,NA,Confirmed Eruption,19895,Eruption Observed,Historical Observations,2005,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Dacite,Rhyolite, , , ,"324,3",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,1576,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),3,Santa Ana,Santa Ana,343020,343020,21040,2381,13.853,-89.63,6822378,6486880,21653,1240131,489
NA,Ecuador,NA,NA,NA,Confirmed Eruption,11479,Eruption Observed,Historical Observations,2002,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,8,9,1575,Ecuador,Subduction zone / Continental crust (>25 km),2,Guagua Pichincha,Guagua Pichincha,352020,352020,283560,4784,-0.171,-78.598,13547510,3581801,32488,2064475,449
Loma de Grandes Bloques,El Salvador,NA,NA,NA,Confirmed Eruption,10825,Eruption Observed,Historical Observations,1917,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"324,3",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,1575,El Salvador and Honduras,Subduction zone / Continental crust (>25 km),3,San Salvador,San Salvador,343050,343050,21040,1893,13.734,-89.294,6822378,6366833,800780,2857563,29514
NA,Chile,NA,NA,NA,Discredited Eruption,12102,Eruption Observed,NA,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,0,0,1575,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),NA,Villarrica,Villarrica,357120,357120,756950,2847,-39.42,-71.93,16134219,667788,1067,35118,477
NA,Chile,NA,NA,NA,Confirmed Eruption,12226,Eruption Observed,Historical Observations,1869,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,0,0,1575,Southern Chile and Argentina,Subduction zone / Continental crust (>25 km),2,Osorno,Osorno,358010,358010,756950,2659,-41.105,-72.496,16134219,655492,674,11964,88
NA,Guatemala,NA,NA,NA,Uncertain Eruption,10670,Eruption Observed,NA,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,1575,Guatemala,Subduction zone / Continental crust (>25 km),2,Fuego,Fuego,342090,342090,108890,3763,14.473,-90.88,12293545,7677809,54332,1016339,1373
Ohachi,Japan,NA,NA,NA,Confirmed Eruption,17118,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"337,4",Shield,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,2,1574,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Kirishimayama,Kirishimayama,282090,282090,377835,1700,31.934,130.862,127463611,3972044,8415,407050,647
Naka-dake,Japan,NA,NA,NA,Confirmed Eruption,17242,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,1574,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Asosan,Asosan,282110,282110,377835,1592,32.884,131.104,127463611,6507519,75559,234591,75559
Naka-dake,Japan,NA,NA,NA,Confirmed Eruption,17241,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,1573,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Asosan,Asosan,282110,282110,377835,1592,32.884,131.104,127463611,6507519,75559,234591,75559
NA,Philippines,NA,NA,NA,Confirmed Eruption,16827,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , ,Rhyolite, , , , ,"298,2",Caldera,ASIA (EX. NEAR EAST),Philippines and SE Asia,0,0,1572,Luzon,Subduction zone / Continental crust (>25 km),3,Taal,Taal,273070,273070,300000,311,14.002,120.993,89468677,24814047,717090,2380326,717090
