area_of_activity,country,end_day,end_month,end_year,eruption_category,eruption_number,evidence_category,evidence_method_dating,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,start_day,start_month,start_year,subregion,tectonic_settings,vei,volcano_name,volcano_name (eruptions.csv),volcano_number,volcano_number (eruptions.csv),Area_sq_miles,elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
NA,Fiji,NA,NA,NA,Confirmed Eruption,14828,Eruption Dated,Tephrochronology,1550,Basalt / Picro-Basalt, , , , ,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , ,"49,6",Shield,OCEANIA,New Zealand to Fiji,0,0,-1100,Fiji Islands,Subduction zone / Crustal thickness unknown,2,Taveuni,Taveuni,245010,245010,18270,1241,-16.82,-179.97,905949,146131,3220,19186,692
NA,United States of America,NA,NA,NA,Confirmed Eruption,20525,Eruption Observed,Radiocarbon (corrected),2008,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,0,0,-1100,USA (Washington),Subduction zone / Continental crust (>25 km),NA,St. Helens,St. Helens,321050,321050,9631420,2549,46.2,-122.18,298444215,2173101,427,2221,78
NA,Russia,NA,NA,NA,Confirmed Eruption,19147,Eruption Observed,Radiocarbon (corrected),2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,0,0,-1100,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),NA,Karymsky,Karymsky,300130,300130,17075200,1513,54.049,159.443,142893540,10848,0,291,0
NNW flank,Japan,NA,NA,NA,Confirmed Eruption,18304,Eruption Observed,Tephrochronology,1785,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1100,"Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),NA,Aogashima,Aogashima,284060,284060,377835,423,32.458,139.759,127463611,8559,232,232,232
NA,Iceland,NA,NA,NA,Confirmed Eruption,12718,Eruption Observed,Radiocarbon (corrected),2000,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1100,Iceland (southern),Rift zone / Oceanic crust (< 15 km),5,Hekla,Hekla,372070,372070,103000,1490,63.983,-19.666,299388,22845,0,298,0
NA,Costa Rica,NA,NA,NA,Confirmed Eruption,11235,Eruption Observed,Tephrochronology,2019,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"79,8",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,-1120,Costa Rica,Subduction zone / Continental crust (>25 km),NA,Turrialba,Turrialba,345070,345070,51100,3340,10.025,-83.767,4075261,3390544,6867,672428,1891
Moto-Shirane,Japan,NA,NA,NA,Confirmed Eruption,17819,Eruption Observed,Radiocarbon (uncorrected),2018,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1120,Honshu,Subduction zone / Continental crust (>25 km),4,Kusatsu-Shiranesan,Kusatsu-Shiranesan,283120,283120,377835,2165,36.618,138.528,127463611,5947593,14296,434049,4485
NA,Japan,NA,NA,NA,Confirmed Eruption,17675,Eruption Observed,Tephrochronology,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1130,Honshu,Subduction zone / Continental crust (>25 km),NA,Asamayama,Asamayama,283110,283110,377835,2568,36.406,138.523,127463611,7629353,22371,457576,583
Lower north flank (Black Crater),United States of America,NA,NA,NA,Confirmed Eruption,20641,Eruption Dated,Radiocarbon (corrected),1060,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite, , ,Dacite, , , , ,"31,0",Shield,NORTHERN AMERICA,Canada and Western USA,0,0,-1130,USA (California),Subduction zone / Continental crust (>25 km),0,Medicine Lake,Medicine Lake,323020,323020,9631420,2412,41.611,-121.554,298444215,120685,0,254,0
Fanthams Peak,New Zealand,NA,NA,NA,Confirmed Eruption,14436,Eruption Observed,Tephrochronology,1800,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,0,0,-1130,New Zealand,Subduction zone / Continental crust (>25 km),NA,Taranaki,Taranaki,241030,241030,268680,2518,-39.3,174.07,4076140,104499,230,77381,200
Furudake,Japan,NA,NA,NA,Confirmed Eruption,16957,Eruption Observed,Radiocarbon (corrected),2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1140,Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),NA,Kuchinoerabujima,Kuchinoerabujima,282050,282050,377835,657,30.443,130.217,127463611,149518,1698,5348,1544
SW rift zone,United States of America,NA,NA,NA,Confirmed Eruption,10279,Eruption Dated,Radiocarbon (uncorrected),1750,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"31,0",Shield,NORTHERN AMERICA,Hawaii and Pacific Ocean,0,0,-1140,Hawaiian Islands,Intraplate / Oceanic crust (< 15 km),NA,Haleakala,Haleakala,332060,332060,9631420,3055,20.708,-156.25,298444215,157582,26074,65398,26074
NA,Mexico,NA,NA,NA,Confirmed Eruption,10405,Eruption Observed,Radiocarbon (uncorrected),2019,Andesite / Basaltic Andesite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,-1140,Mexico,Subduction zone / Continental crust (>25 km),NA,Colima,Colima,341040,341040,1972550,3850,19.514,-103.62,107449525,1494790,746,303490,76
Cerro el Zoyate,Mexico,NA,NA,NA,Confirmed Eruption,20951,Eruption Observed,Radiocarbon (corrected),1952,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Dacite, , ,"54,5",Pyroclastic cone,LATIN AMER. & CARIB,México and Central America,,,-1140,Mexico,Subduction zone / Continental crust (>25 km),NA,Michoacan-Guanajuato,Michoacan-Guanajuato,341060,341060,1972550,3860,19.85,-101.75,107449525,5783287,5783287,5783287,5783287
NW rift zone (0.7 km NW of Luamakami),United States of America,NA,NA,NA,Confirmed Eruption,10241,Eruption Observed,Radiocarbon (uncorrected),1801,Basalt / Picro-Basalt, , , , ,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , ,"31,0",Shield,NORTHERN AMERICA,Hawaii and Pacific Ocean,0,0,-1150,Hawaiian Islands,Intraplate / Oceanic crust (< 15 km),0,Hualalai,Hualalai,332040,332040,9631420,2523,19.692,-155.87,298444215,166240,35906,46959,35906
NA,United States of America,NA,NA,NA,Confirmed Eruption,20629,Eruption Observed,Radiocarbon (uncorrected),1250,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,0,0,-1150,USA (California),Subduction zone / Continental crust (>25 km),NA,Shasta,Shasta,323010,323010,9631420,4317,41.409,-122.193,298444215,265016,35,19785,0
Kawagodaira,Japan,NA,NA,NA,Confirmed Eruption,17376,Eruption Observed,Radiocarbon (corrected),1989,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , ,Rhyolite, , , , ,"337,4",Pyroclastic cone,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1150,Honshu,Subduction zone / Continental crust (>25 km),4,Izu-Tobu,Izu-Tobu,283010,283010,377835,1406,34.9,139.098,127463611,17928355,61727,447660,5886
SE flank of Nishi-yama (Kanda-yama),Japan,NA,NA,NA,Confirmed Eruption,18293,Eruption Observed,Tephrochronology,1606,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1150,"Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),NA,Hachijojima,Hachijojima,284050,284050,377835,854,33.137,139.766,127463611,14082,13560,13564,11275
O-dake,Japan,NA,NA,NA,Confirmed Eruption,18131,Eruption Dated,Radiocarbon (corrected),1550,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1150,Honshu,Subduction zone / Continental crust (>25 km),1,Hakkodasan,Hakkodasan,283280,283280,377835,1585,40.659,140.877,127463611,1921667,730,476624,225
Nishi-Iwate,Japan,NA,NA,NA,Confirmed Eruption,17568,Eruption Observed,Radiocarbon (uncorrected),1919,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1150,Honshu,Subduction zone / Continental crust (>25 km),NA,Iwatesan,Iwatesan,283240,283240,377835,2038,39.853,141.001,127463611,2976795,18462,415920,439
Northern cone,Russia,NA,NA,NA,Confirmed Eruption,19233,Eruption Dated,Radiocarbon (corrected),1550,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"8,4",Caldera,C.W. OF IND. STATES,Kamchatka and Mainland Asia,0,0,-1150,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),NA,Krasheninnikov,Krasheninnikov,300190,300190,17075200,1816,54.596,160.27,142893540,4674,308,814,308
Fugendake-Sancho,Japan,NA,NA,NA,Confirmed Eruption,17171,Eruption Observed,Thermoluminescence,1996,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1150,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),NA,Unzendake,Unzendake,282100,282100,377835,1483,32.761,130.299,127463611,7313362,76424,444737,6979
NA,Samoa,NA,NA,NA,Confirmed Eruption,14806,Eruption Observed,Radiocarbon (corrected),1911,Basalt / Picro-Basalt, , , , , , , , , ,"60,1",Shield,OCEANIA,New Zealand to Fiji,0,0,-1150,Samoan and Wallis Islands,Subduction zone / Oceanic crust (< 15 km),NA,Savai'i,Savai'i,244040,244040,2944,1858,-13.612,-172.525,176908,188465,59,34215,0
NA,Ecuador,NA,NA,NA,Confirmed Eruption,11392,Eruption Dated,Radiocarbon (uncorrected),650,Dacite, , , , , , , , , ,"47,8",Caldera,LATIN AMER. & CARIB,South America,0,0,-1150,Ecuador,Subduction zone / Continental crust (>25 km),5,Cuicocha,Cuicocha,352003,352003,283560,3246,0.308,-78.364,13547510,3193683,178815,364146,178815
Vatnafjöll (Hraunhalsshraun),Iceland,NA,NA,NA,Confirmed Eruption,12717,Eruption Observed,Tephrochronology,2000,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1150,Iceland (southern),Rift zone / Oceanic crust (< 15 km),NA,Hekla,Hekla,372070,372070,103000,1490,63.983,-19.666,299388,22845,0,298,0
N of caldera (Domadalshraun),Iceland,NA,NA,NA,Confirmed Eruption,12685,Eruption Observed,Tephrochronology,1477,Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, ,Trachyandesite / Basaltic Trachyandesite, , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1150,Iceland (southern),Rift zone / Oceanic crust (< 15 km),NA,Torfajokull,Torfajokull,372050,372050,103000,1280,63.892,-19.122,299388,16304,0,7,0
Teide SW flank (Los Gemelos),Spain,NA,NA,NA,Confirmed Eruption,13088,Eruption Observed,Tephrochronology,1909,Phonolite,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , , , ,"80,0",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,0,0,-1150,Canary Islands,Intraplate / Oceanic crust (< 15 km),NA,Tenerife,Tenerife,383030,383030,504782,3715,28.271,-16.641,40397842,766276,156,337660,0
NA,Iceland,NA,NA,NA,Confirmed Eruption,12636,Eruption Observed,Tephrochronology,1918,Basalt / Picro-Basalt,Rhyolite,Dacite, , ,Andesite / Basaltic Andesite, , , , ,"2,9",Others,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1160,Iceland (southern),Rift zone / Oceanic crust (< 15 km),NA,Katla,Katla,372030,372030,103000,1490,63.633,-19.083,299388,11326,0,473,0
NA,Colombia,NA,NA,NA,Confirmed Eruption,11345,Eruption Observed,Radiocarbon (corrected),2014,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"38,3",Complex,LATIN AMER. & CARIB,South America,0,0,-1160,Colombia,Subduction zone / Continental crust (>25 km),2,Galeras,Galeras,351080,351080,1138910,4276,1.22,-77.37,43593035,1700248,120817,630777,705
McCartys flow,United States of America,NA,NA,NA,Confirmed Eruption,20707,Eruption Dated,Radiocarbon (corrected),-1170,Basalt / Picro-Basalt, , , , , , , , , ,"31,0",Volcanic field,NORTHERN AMERICA,Canada and Western USA,0,0,-1170,USA (New Mexico),Rift zone / Continental crust (>25 km),0,Zuni-Bandera,Zuni-Bandera,327120,327120,9631420,2550,34.8,-108,298444215,54738,18,246,18
NA,Mexico,NA,NA,NA,Confirmed Eruption,10404,Eruption Observed,Radiocarbon (corrected),2019,Andesite / Basaltic Andesite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,-1170,Mexico,Subduction zone / Continental crust (>25 km),NA,Colima,Colima,341040,341040,1972550,3850,19.514,-103.62,107449525,1494790,746,303490,76
NA,United States of America,NA,NA,NA,Confirmed Eruption,20524,Eruption Observed,Radiocarbon (corrected),2008,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,0,0,-1180,USA (Washington),Subduction zone / Continental crust (>25 km),NA,St. Helens,St. Helens,321050,321050,9631420,2549,46.2,-122.18,298444215,2173101,427,2221,78
NA,Indonesia,NA,NA,NA,Confirmed Eruption,15820,Eruption Observed,Radiocarbon (uncorrected),2020,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,0,0,-1180,Java,Subduction zone / Continental crust (>25 km),4,Merapi,Merapi,263250,263250,1919440,2910,-7.54,110.446,245452739,24728414,185849,4348473,49205
Montañón Negro,Spain,NA,NA,NA,Confirmed Eruption,13116,Eruption Dated,Radiocarbon (corrected),40,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Phonolite,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , ,"80,0",Others,WESTERN EUROPE,Atlantic Ocean,0,0,-1180,Canary Islands,Intraplate / Intermediate crust (15-25 km),NA,Gran Canaria,Gran Canaria,383040,383040,504782,1950,28,-15.58,40397842,1119998,8049,697199,1101
NA,Iceland,NA,NA,NA,Confirmed Eruption,12635,Eruption Observed,Tephrochronology,1918,Basalt / Picro-Basalt,Rhyolite,Dacite, , ,Andesite / Basaltic Andesite, , , , ,"2,9",Others,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1190,Iceland (southern),Rift zone / Oceanic crust (< 15 km),NA,Katla,Katla,372030,372030,103000,1490,63.633,-19.083,299388,11326,0,473,0
NA,New Zealand,NA,NA,NA,Confirmed Eruption,14435,Eruption Observed,Radiocarbon (uncorrected),1800,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,0,0,-1190,New Zealand,Subduction zone / Continental crust (>25 km),NA,Taranaki,Taranaki,241030,241030,268680,2518,-39.3,174.07,4076140,104499,230,77381,200
"Veidivötn (Burfellshraun, Drekahraun)",Iceland,NA,NA,NA,Confirmed Eruption,12852,Eruption Observed,Tephrochronology,2015,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1200,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),NA,Bardarbunga,Bardarbunga,373030,373030,103000,2000,64.633,-17.516,299388,1348,0,0,0
Caldeira Funda de Lajes,Portugal,NA,NA,NA,Confirmed Eruption,12983,Eruption Dated,Radiocarbon (uncorrected),-950,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, ,Phono-tephrite /  Tephri-phonolite, , , , ,"114,8",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,0,0,-1200,Azores,Intraplate / Continental crust (>25 km),NA,Flores,Flores,382001,382001,92391,914,39.462,-31.216,10605870,5865,4560,5825,1054
Kraeduborgir (Burfellshraun),Iceland,NA,NA,NA,Confirmed Eruption,12921,Eruption Dated,Tephrochronology,-1200,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1200,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),NA,Fremrinamar,Fremrinamar,373070,373070,103000,970,65.416,-16.666,299388,19143,0,476,0
NA,Fiji,NA,NA,NA,Confirmed Eruption,14827,Eruption Dated,Tephrochronology,1550,Basalt / Picro-Basalt, , , , ,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , ,"49,6",Shield,OCEANIA,New Zealand to Fiji,0,0,-1200,Fiji Islands,Subduction zone / Crustal thickness unknown,2,Taveuni,Taveuni,245010,245010,18270,1241,-16.82,-179.97,905949,146131,3220,19186,692
SW part of Raoul caldera,New Zealand,NA,NA,NA,Confirmed Eruption,14685,Eruption Observed,Radiocarbon (uncorrected),2006,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,0,0,-1200,Kermadec Islands,Subduction zone / Oceanic crust (< 15 km),4,Raoul Island,Raoul Island,242030,242030,268680,516,-29.27,-177.92,4076140,0,0,0,0
West of Sirwan,Yemen,NA,NA,NA,Confirmed Eruption,14158,Eruption Dated,Anthropology,-1200,Basalt / Picro-Basalt, , , , , , , , , ,"40,6",Volcanic field,NEAR EAST,Middle East and Indian Ocean,0,0,-1200,Middle East (southern),Intraplate / Continental crust (>25 km),0,"Haylan, Jabal","Haylan, Jabal",231110,231110,527970,1550,15.4,45.1,21456188,4164209,225754,225754,225754
Rincón de Chapultepec,Mexico,NA,NA,NA,Confirmed Eruption,10503,Eruption Dated,Radiocarbon (corrected),-1200,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachybasalt / Tephrite Basanite, , ,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , ,"54,5",Pyroclastic cone,LATIN AMER. & CARIB,México and Central America,0,0,-1200,Mexico,Subduction zone / Continental crust (>25 km),NA,Naolinco Volcanic Field,Naolinco Volcanic Field,341095,341095,1972550,2000,19.67,-96.75,107449525,4184323,108824,739767,108824
NA,Japan,NA,NA,NA,Confirmed Eruption,18303,Eruption Observed,Radiocarbon (corrected),1785,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1200,"Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),NA,Aogashima,Aogashima,284060,284060,377835,423,32.458,139.759,127463611,8559,232,232,232
NA,Japan,NA,NA,NA,Confirmed Eruption,18155,Eruption Observed,Tephrochronology,1990,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1200,"Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),NA,Izu-Oshima,Izu-Oshima,284010,284010,377835,758,34.724,139.394,127463611,11837468,8037,8375,2381
NW side of Kami-yama (Kanmuriga-take),Japan,NA,NA,NA,Confirmed Eruption,17383,Eruption Dated,Radiocarbon (corrected),2015,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1200,Honshu,Subduction zone / Continental crust (>25 km),2,Hakoneyama,Hakoneyama,283020,283020,377835,1438,35.233,139.021,127463611,30282197,53755,1543563,14140
NA,Japan,NA,NA,NA,Confirmed Eruption,17667,Eruption Dated,Tephrochronology,-750,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,-1200,Honshu,Subduction zone / Continental crust (>25 km),NA,Myokosan,Myokosan,283100,283100,377835,2454,36.891,138.114,127463611,4118863,11033,561142,1563
NA,Iceland,NA,NA,NA,Confirmed Eruption,12634,Eruption Observed,Radiocarbon (corrected),1918,Basalt / Picro-Basalt,Rhyolite,Dacite, , ,Andesite / Basaltic Andesite, , , , ,"2,9",Others,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1220,Iceland (southern),Rift zone / Oceanic crust (< 15 km),3,Katla,Katla,372030,372030,103000,1490,63.633,-19.083,299388,11326,0,473,0
NA,Ecuador,NA,NA,NA,Confirmed Eruption,11468,Eruption Observed,Radiocarbon (corrected),2002,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,0,0,-1230,Ecuador,Subduction zone / Continental crust (>25 km),NA,Guagua Pichincha,Guagua Pichincha,352020,352020,283560,4784,-0.171,-78.598,13547510,3581801,32488,2064475,449
NA,Chile,NA,NA,NA,Confirmed Eruption,21091,Eruption Observed,Radiocarbon (uncorrected),2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,,,-1230,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),4,Villarrica,Villarrica,357120,357120,756950,2847,-39.42,-71.93,16134219,667788,1067,35118,477
Upper SW rift zone (~2800 m),United States of America,NA,NA,NA,Confirmed Eruption,10278,Eruption Dated,Radiocarbon (corrected),1750,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"31,0",Shield,NORTHERN AMERICA,Hawaii and Pacific Ocean,0,0,-1240,Hawaiian Islands,Intraplate / Oceanic crust (< 15 km),NA,Haleakala,Haleakala,332060,332060,9631420,3055,20.708,-156.25,298444215,157582,26074,65398,26074
ENE flank ? (Alto la Piramide ?),Colombia,NA,NA,NA,Confirmed Eruption,11271,Eruption Observed,Radiocarbon (uncorrected),2020,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"38,3",Stratovolcano,LATIN AMER. & CARIB,South America,0,0,-1245,Colombia,Subduction zone / Continental crust (>25 km),NA,"Ruiz, Nevado del","Ruiz, Nevado del",351020,351020,1138910,5279,4.892,-75.324,43593035,4252435,20146,507608,3849
SE flank,Ecuador,NA,NA,NA,Confirmed Eruption,11698,Eruption Observed,Radiocarbon (uncorrected),2018,Basalt / Picro-Basalt, , , , , , , , , ,"47,8",Shield,LATIN AMER. & CARIB,South America,0,0,-1250,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),0,"Negra, Sierra","Negra, Sierra",353050,353050,283560,1124,-0.83,-91.17,13547510,9884,408,983,408
NA,Costa Rica,NA,NA,NA,Confirmed Eruption,11117,Eruption Observed,Radiocarbon (corrected),2010,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,"79,8",Stratovolcano,LATIN AMER. & CARIB,México and Central America,0,0,-1250,Costa Rica,Subduction zone / Continental crust (>25 km),4,Arenal,Arenal,345033,345033,51100,1670,10.463,-84.703,4075261,3027485,15643,96512,3429
NA,Chile,NA,NA,NA,Confirmed Eruption,12308,Eruption Dated,Radiocarbon (corrected),-1250,Dacite, , , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,0,0,-1250,Southern Chile and Argentina,Subduction zone / Continental crust (>25 km),5,Aguilera,Aguilera,358062,358062,756950,2546,-50.33,-73.75,16134219,5698,0,103,0
"NE flank, Vatnafjöll",Iceland,NA,NA,NA,Confirmed Eruption,12716,Eruption Observed,Tephrochronology,2000,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite, , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1250,Iceland (southern),Rift zone / Oceanic crust (< 15 km),NA,Hekla,Hekla,372070,372070,103000,1490,63.983,-19.666,299388,22845,0,298,0
Litladynga and Askja,Iceland,NA,NA,NA,Confirmed Eruption,12906,Eruption Observed,Tephrochronology,1961,Basalt / Picro-Basalt, , , , ,Rhyolite, , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,0,0,-1250,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),0,Askja,Askja,373060,373060,103000,1080,65.033,-16.783,299388,13028,0,0,0
Fagajesto,Spain,NA,NA,NA,Confirmed Eruption,13115,Eruption Dated,Radiocarbon (corrected),40,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Phonolite,Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , ,"80,0",Others,WESTERN EUROPE,Atlantic Ocean,0,0,-1250,Canary Islands,Intraplate / Intermediate crust (15-25 km),NA,Gran Canaria,Gran Canaria,383040,383040,504782,1950,28,-15.58,40397842,1119998,8049,697199,1101
S Sandwich Is (probably Candlemass),United Kingdom,NA,NA,NA,Confirmed Eruption,13222,Eruption Observed,Ice Core,1911,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"247,6",Stratovolcano,WESTERN EUROPE,Antarctica,0,0,-1250,Antarctica and South Sandwich Islands,Subduction zone / Oceanic crust (< 15 km),NA,Candlemas Island,Candlemas Island,390100,390100,244820,550,-57.08,-26.67,60609153,0,0,0,0
Coffeepot Crater,United States of America,NA,NA,NA,Confirmed Eruption,20615,Eruption Dated,Radiocarbon (uncorrected),-1250,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,"31,0",Volcanic field,NORTHERN AMERICA,Canada and Western USA,0,0,-1250,USA (Oregon),Rift zone / Continental crust (>25 km),2,Jordan Craters,Jordan Craters,322190,322190,9631420,1473,43.147,-117.46,298444215,232946,0,28,0
