country,country (volcano.csv),evidence_category,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,subregion,tectonic_settings,volcano_name,volcano_number,Area (sq. mi.),elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
Russia,Russia,Eruption Observed,1907,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Ksudach,300050,17075200,1079,51.844,157.572,142893540,3850,0,244,0
Japan,Japan,Eruption Observed,2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),Kuchinoerabujima,282050,377835,657,30.443,130.217,127463611,149518,1698,5348,1544
Japan,Japan,Eruption Dated,1190,Andesite / Basaltic Andesite, , , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),Kuchinoshima,282043,377835,628,29.968,129.926,127463611,11002,101,291,93
Japan,Japan,Eruption Observed,1996,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),Kujusan,282120,377835,1791,33.086,131.249,127463611,7815706,11771,181541,1667
Turkey,Turkey,Evidence Credible,Unknown,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Foidite, , ,"90,2",Pyroclastic cone,NEAR EAST,Mediterranean and Western Asia,Turkey,Intraplate / Continental crust (>25 km),Kula,213000,780580,750,38.58,28.52,70413958,2655406,66866,187845,66866
China,China,Eruption Observed,1951,Trachyte / Trachydacite, , , , , , , , , ,"136,9",Pyroclastic cone,ASIA (EX. NEAR EAST),Kamchatka and Mainland Asia,China (western),Intraplate / Continental crust (>25 km),Kunlun Volcanic Group,304030,9596960,5808,35.52,80.2,1313973713,22621,1253,3212,1253
Japan,Japan,Eruption Observed,1950,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Kurikomayama,283210,377835,1627,38.961,140.788,127463611,4615592,1081,104165,226
Russia,Russia,Eruption Dated,-6440,Dacite,Rhyolite, , , ,Andesite / Basaltic Andesite, , , , ,"8,4",Caldera,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Kurile Lake,300023,17075200,81,51.45,157.12,142893540,4078,23,397,23
Japan,Japan,Eruption Observed,2018,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Kusatsu-Shiranesan,283120,377835,2165,36.618,138.528,127463611,5947593,14296,434049,4485
Japan,Japan,Eruption Dated,1320,Dacite,Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Kussharo,285080,377835,574,43.615,144.427,127463611,680109,8331,26476,8331
Japan,Japan,Eruption Dated,1820,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Kuttara,285034,377835,549,42.491,141.16,127463611,3371955,34015,220509,10198
Sudan,Sudan,Evidence Uncertain,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"16,5",Pyroclastic cone,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northern),Intraplate / Continental crust (>25 km),Kutum Volcanic Field,225040,2505810,1779,14.57,25.85,41236378,194797,30569,30569,30569
Vanuatu,Vanuatu,Eruption Observed,1974,Basalt / Picro-Basalt,Dacite,Andesite / Basaltic Andesite, , , , , , , ,"17,1",Caldera,OCEANIA,Melanesia and Australia,Vanuatu,Subduction zone / Intermediate crust (15-25 km),Kuwae,257070,12200,-2,-16.829,168.536,208869,48609,2836,5725,2836
Iceland,Iceland,Eruption Observed,1968,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (northeastern),Rift zone / Oceanic crust (< 15 km),Kverkfjoll,373050,103000,1930,64.653,-16.647,299388,2901,0,0,0
Tanzania,Tanzania,Eruption Observed,1800,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , ,"39,6",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (eastern),Rift zone / Continental crust (>25 km),Kyejo,222170,945087,2176,-9.229,33.792,37445392,2263665,38428,378511,2259
Spain,Spain,Eruption Observed,1971,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite,Phonolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , ,"80,0",Stratovolcano,WESTERN EUROPE,Atlantic Ocean,Canary Islands,Intraplate / Oceanic crust (< 15 km),La Palma,383010,504782,2426,28.57,-17.83,40397842,85416,18506,55922,442
Philippines,Philippines,Unrest / Holocene,Unknown,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , ,"298,2",Caldera,ASIA (EX. NEAR EAST),Philippines and SE Asia,Luzon,Subduction zone / Continental crust (>25 km),Laguna Caldera,273080,300000,743,14.42,121.27,89468677,26270664,625567,7073814,625567
Nicaragua,Nicaragua,Evidence Uncertain,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"43,0",Shield,LATIN AMER. & CARIB,México and Central America,Nicaragua,Subduction zone / Continental crust (>25 km),"Lajas, Las",344133,129494,926,12.3,-85.73,5570129,3304910,11384,130109,1901
Indonesia,Indonesia,Eruption Observed,1898,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Lamongan,263320,1919440,1641,-7.981,113.341,245452739,15322387,66387,2193829,6588
Papua New Guinea,Papua New Guinea,Eruption Observed,2018,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"12,3",Complex,OCEANIA,Melanesia and Australia,New Britain,Subduction zone / Continental crust (>25 km),Langila,252010,462840,1330,-5.525,148.42,5670544,45698,3653,11641,213
Iceland,Iceland,Eruption Dated,950,Basalt / Picro-Basalt,Rhyolite, , , , , , , , ,"2,9",Others,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (southwestern),Rift zone / Oceanic crust (< 15 km),Langjokull,371080,103000,1100,64.85,-19.7,299388,11973,0,5,0
Spain,Spain,Eruption Observed,1824,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite, , , , ,"80,0",Others,WESTERN EUROPE,Atlantic Ocean,Canary Islands,Intraplate / Intermediate crust (15-25 km),Lanzarote,383060,504782,670,29.03,-13.63,40397842,225373,80515,164123,19033
Chile,Chile,Eruption Observed,2017,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,"Northern Chile, Bolivia and Argentina",Subduction zone / Continental crust (>25 km),Lascar,355100,756950,5592,-23.37,-67.73,16134219,8119,70,570,0
United States,United States,Eruption Observed,1917,Andesite / Basaltic Andesite,Dacite,Rhyolite, , ,Basalt / Picro-Basalt, , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Canada and Western USA,USA (California),Subduction zone / Continental crust (>25 km),Lassen Volcanic Center,323080,9631420,3187,40.492,-121.508,298444215,439135,9,2340,0
Indonesia,Indonesia,Eruption Observed,1885,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Lawu,263260,1919440,3265,-7.625,111.192,245452739,24931156,68175,2344575,2171
Tanzania,Tanzania,Eruption Observed,2020,Foidite,Phonolite, , , , , , , , ,"39,6",Stratovolcano,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (eastern),Rift zone / Continental crust (>25 km),"Lengai, Ol Doinyo",222120,945087,2962,-2.764,35.914,37445392,545305,1855,18074,186
Philippines,Philippines,Eruption Dated,120,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,Mindanao,Subduction zone / Continental crust (>25 km),Leonard Range,271031,300000,1080,7.382,126.047,89468677,4321874,3682,451047,908
Indonesia,Indonesia,Eruption Observed,2003,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,Lesser Sunda Islands,Subduction zone / Crustal thickness unknown,Leroboleng,264200,1919440,1095,-8.365,122.833,245452739,896194,26794,358627,9164
Russia,Russia,Evidence Uncertain,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"8,4",Shield,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Leutongey,300530,17075200,1318,57.306,159.827,142893540,3497,0,73,0
Canada,Canada,Evidence Uncertain,Unknown,Trachyte / Trachydacite,Rhyolite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Phonolite, , , , , ,"3,3",Shield,NORTHERN AMERICA,Canada and Western USA,Canada,Intraplate / Continental crust (>25 km),Level Mountain,320050,9984670,2190,58.42,-131.35,33098932,636,0,0,0
Indonesia,Indonesia,Eruption Observed,2003,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Lesser Sunda Islands,Subduction zone / Crustal thickness unknown,Lewotobi,264180,1919440,1703,-8.542,122.775,245452739,906184,59084,284976,18686
Ecuador,Ecuador,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"47,8",Pyroclastic cone,LATIN AMER. & CARIB,South America,Ecuador,Subduction zone / Continental crust (>25 km),Licto,352081,283560,3336,-1.78,-78.613,13547510,1806438,250144,333276,250144
Papua New Guinea,Papua New Guinea,Evidence Credible,Unknown,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite,Phono-tephrite /  Tephri-phonolite, , , ,"12,3",Others,OCEANIA,Melanesia and Australia,New Ireland,Subduction zone / Crustal thickness unknown,Lihir,254010,462840,700,-3.125,152.642,5670544,32340,2592,3562,959
Italy,Italy,Eruption Dated,1230,Rhyolite,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Dacite, , , , , ,"193,0",Stratovolcano,WESTERN EUROPE,Mediterranean and Western Asia,Italy,Subduction zone / Continental crust (>25 km),Lipari,211042,301230,590,38.49,14.933,58133509,1564043,28925,36059,26049
Iceland,Iceland,Eruption Dated,960,Basalt / Picro-Basalt,Rhyolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite, , , , , ,"2,9",Others,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (western),Rift zone / Oceanic crust (< 15 km),Ljosufjoll,370030,103000,1063,64.9,-22.483,299388,192797,713,1511,713
Chile,Chile,Eruption Observed,2009,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Llaima,357110,756950,3125,-38.692,-71.729,16134219,630458,811,18568,86
Indonesia,Indonesia,Eruption Observed,2015,Basalt / Picro-Basalt,Dacite,Andesite / Basaltic Andesite, , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sulawesi,Subduction zone / Continental crust (>25 km),Lokon-Empung,266100,1919440,1580,1.358,124.792,245452739,1583346,75684,942160,12183
Papua New Guinea,Papua New Guinea,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"12,3",Stratovolcano,OCEANIA,Melanesia and Australia,New Britain,Subduction zone / Continental crust (>25 km),Lolo,252071,462840,796,-5.466,150.509,5670544,144334,13925,35526,5176
Papua New Guinea,Papua New Guinea,Eruption Observed,1912,Basalt / Picro-Basalt,Dacite,Andesite / Basaltic Andesite, , , , , , , ,"12,3",Caldera,OCEANIA,Melanesia and Australia,New Britain,Subduction zone / Continental crust (>25 km),Lolobau,252130,462840,858,-4.92,151.158,5670544,62340,7243,9659,7243
Papua New Guinea,Papua New Guinea,Eruption Dated,-1050,Andesite / Basaltic Andesite, , , , , , , , , ,"12,3",Others,OCEANIA,Melanesia and Australia,Bougainville and Solomon Islands,Subduction zone / Crustal thickness unknown,Loloru,255030,462840,1887,-6.52,155.62,5670544,97088,173,26075,1
Papua New Guinea,Papua New Guinea,Eruption Observed,1993,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"12,3",Complex,OCEANIA,Melanesia and Australia,Northeast of New Guinea,Subduction zone / Continental crust (>25 km),Long Island,251050,462840,1280,-5.358,147.12,5670544,78803,2023,4017,172
China,China,Eruption Dated,350,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"136,9",Pyroclastic cone,ASIA (EX. NEAR EAST),Kamchatka and Mainland Asia,China (eastern),Intraplate / Continental crust (>25 km),Longgang Group,305050,9596960,1000,42.33,126.5,1313973713,4407575,34708,197016,34708
Chile,Chile,Eruption Observed,1990,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Lonquimay,357100,756950,2832,-38.379,-71.586,16134219,504320,540,13635,96
Indonesia,Indonesia,Evidence Uncertain,Unknown,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),Lubukraya,261111,1919440,1862,1.478,99.209,245452739,2208734,6931,445954,349
Saudi Arabia,Saudi Arabia,Eruption Observed,1000,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"13,8",Volcanic field,NEAR EAST,Middle East and Indian Ocean,Middle East (southern),Intraplate / Continental crust (>25 km),"Lunayyir, Harrat",231040,1960582,1370,25.17,37.75,27019731,61662,234,234,234
Vietnam,Vietnam,Evidence Credible,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"256,1",Volcanic field,ASIA (EX. NEAR EAST),Philippines and SE Asia,Southeast Asia,Intraplate / Continental crust (>25 km),Ly Son Group,275020,329560,157,15.38,109.12,84402966,2303467,700,29181,700
New Zealand,New Zealand,Eruption Dated,-4360,Basalt / Picro-Basalt,Rhyolite, , , ,Dacite,Andesite / Basaltic Andesite, , , ,"15,2",Caldera,OCEANIA,New Zealand to Fiji,Kermadec Islands,Subduction zone / Oceanic crust (< 15 km),Macauley,242021,268680,238,-30.21,-178.475,4076140,0,0,0,0
Portugal,Portugal,Eruption Dated,-4500,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Andesite / Basaltic Andesite, , , ,"114,8",Shield,WESTERN EUROPE,Atlantic Ocean,Azores,Intraplate / Oceanic crust (< 15 km),Madeira,382120,92391,1862,32.73,-16.97,10605870,220977,209816,215730,209816
Philippines,Philippines,Unrest / Holocene,Unknown,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,Central Philippines,Subduction zone / Continental crust (>25 km),Mahagnao,272070,300000,860,10.882,124.888,89468677,827590,4338,66949,11
Indonesia,Indonesia,Eruption Observed,1977,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sulawesi,Subduction zone / Continental crust (>25 km),Mahawu,266110,1919440,1299,1.352,124.865,245452739,1503109,111852,878193,18618
United States,United States,Eruption Observed,1995,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Dacite, ,Trachyte / Trachydacite, , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Makushin,311310,9631420,1800,53.891,-166.923,298444215,3850,0,3437,0
Russia,Russia,Eruption Observed,1952,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,"8,4",Caldera,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Maly Semyachik,300140,17075200,1527,54.135,159.674,142893540,10182,98,497,98
United States,United States,Eruption Dated,1260,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Basalt / Picro-Basalt,Rhyolite, , , ,"31,0",Lava dome,NORTHERN AMERICA,Canada and Western USA,USA (California),Rift zone / Continental crust (>25 km),Mammoth Mountain,323150,9631420,3369,37.631,-119.032,298444215,77851,6242,7745,2220
Papua New Guinea,Papua New Guinea,Evidence Credible,Unknown,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Dacite,Basalt / Picro-Basalt, , , , , , ,"12,3",Volcanic field,OCEANIA,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,Subduction zone / Continental crust (>25 km),Managlase Plateau,253021,462840,1342,-9.08,148.33,5670544,145917,5732,14700,5732
Papua New Guinea,Papua New Guinea,Eruption Observed,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"12,3",Stratovolcano,OCEANIA,Melanesia and Australia,Northeast of New Guinea,Subduction zone / Continental crust (>25 km),Manam,251020,462840,1807,-4.08,145.037,5670544,180402,2553,24364,1106
Ethiopia,Ethiopia,Eruption Observed,2009,Basalt / Picro-Basalt, , , , , , , , , ,"66,3",Shield,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Intermediate crust (15-25 km),Manda Hararo,221115,1127127,600,12.17,40.82,74777981,419204,857,7455,191
Philippines,Philippines,Unrest / Holocene,Unknown,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"298,2",Complex,ASIA (EX. NEAR EAST),Philippines and SE Asia,Central Philippines,Subduction zone / Continental crust (>25 km),Mandalagan,272030,300000,1885,10.65,123.25,89468677,9390672,6491,765974,563
Algeria,Algeria,Evidence Credible,Unknown,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , ,"13,8",Pyroclastic cone,NORTHERN AFRICA,Africa and Red Sea,Africa (northern),Intraplate / Continental crust (>25 km),Manzaz Volcanic Field,225006,2381740,1672,23.92,5.83,32930091,5278,1196,1326,1196
Indonesia,Indonesia,Eruption Observed,2018,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),Marapi,261140,1919440,2885,-0.38,100.474,245452739,4059773,57453,818039,706
Chile,Chile,Evidence Credible,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"21,3",Pyroclastic cone,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),"Mariñaqui, Laguna",357092,756950,2108,-38.255,-71.167,16134219,85612,314,4640,95
South Africa,South Africa,Eruption Observed,2004,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,"36,2",Shield,SUB-SAHARAN AFRICA,Middle East and Indian Ocean,Indian Ocean (southern),Rift zone / Oceanic crust (< 15 km),Marion Island,234070,1219912,1230,-46.9,37.75,44187637,0,0,0,0
Philippines,Philippines,Eruption Dated,-2050,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,Luzon,Subduction zone / Continental crust (>25 km),Mariveles,273081,300000,1388,14.527,120.482,89468677,25981912,48079,455154,903
United States,United States,Evidence Credible,1050,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite, , ,Rhyolite, , , , ,"31,0",Volcanic field,NORTHERN AMERICA,Canada and Western USA,USA (Utah),Rift zone / Continental crust (>25 km),Markagunt Plateau,327040,9631420,2840,37.58,-112.67,298444215,186184,970,1887,970
New Zealand,New Zealand,Eruption Dated,180,Rhyolite, , , , ,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,"15,2",Caldera,OCEANIA,New Zealand to Fiji,New Zealand,Subduction zone / Continental crust (>25 km),Maroa,241061,268680,897,-38.42,176.08,4076140,475588,532,27958,117
Sudan,Sudan,Eruption Dated,-2000,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Phonolite, , , , , ,"16,5",Volcanic field,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northern),Intraplate / Continental crust (>25 km),"Marra, Jebel",225030,2505810,3042,12.95,24.27,41236378,983802,8692,120061,638
Kenya,Kenya,Evidence Uncertain,Unknown,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"59,6",Shield,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (eastern),Rift zone / Continental crust (>25 km),Marsabit,222021,582650,1707,2.32,37.97,34707817,111322,22677,49742,16804
United States,United States,Eruption Dated,1953,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Alaska Peninsula,Subduction zone / Continental crust (>25 km),Martin,312140,9631420,1863,58.172,-155.361,298444215,914,0,0,0
Japan,Japan,Eruption Observed,1898,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Maruyama,285061,377835,2013,43.418,143.031,127463611,1260920,6,3682,0
Nicaragua,Nicaragua,Eruption Observed,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"43,0",Caldera,LATIN AMER. & CARIB,México and Central America,Nicaragua,Subduction zone / Continental crust (>25 km),Masaya,344100,129494,594,11.985,-86.165,5570129,2926954,989888,1914707,989888
Mexico,Mexico,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,"54,5",Pyroclastic cone,LATIN AMER. & CARIB,México and Central America,Mexico,Subduction zone / Continental crust (>25 km),Mascota Volcanic Field,341031,1972550,2560,20.62,-104.83,107449525,1083467,16293,31760,16293
Japan,Japan,Eruption Dated,1080,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Mashu,285081,377835,857,43.572,144.561,127463611,632919,9794,25627,9794
France,France,Eruption Observed,1956,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"111,3",Stratovolcano,WESTERN EUROPE,Melanesia and Australia,Pacific Ocean (southwestern),Subduction zone / Crustal thickness unknown,Matthew Island,258010,547030,177,-22.33,171.32,60876136,1,1,1,1
Philippines,Philippines,Eruption Dated,1290,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,Mindanao,Subduction zone / Continental crust (>25 km),Matutum,271020,300000,2286,6.37,125.07,89468677,5316209,10431,822372,855
Chile,Chile,Eruption Dated,-50,Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt,Dacite, , , , , , ,"21,3",Caldera,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),"Maule, Laguna del",357061,756950,2162,-36.058,-70.492,16134219,169334,1045,1521,1045
United States,United States,Eruption Dated,-2460,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite, , , , , , , ,"31,0",Shield,NORTHERN AMERICA,Hawaii and Pacific Ocean,Hawaiian Islands,Intraplate / Oceanic crust (< 15 km),Mauna Kea,332030,9631420,4205,19.82,-155.47,298444215,166888,126,9950,126
United States,United States,Eruption Observed,1984,Basalt / Picro-Basalt, , , , , , , , , ,"31,0",Shield,NORTHERN AMERICA,Hawaii and Pacific Ocean,Hawaiian Islands,Intraplate / Oceanic crust (< 15 km),Mauna Loa,332020,9631420,4170,19.475,-155.608,298444215,175315,45,1906,45
New Zealand,New Zealand,Eruption Dated,-5060,Rhyolite, , , , , , , , , ,"15,2",Shield,OCEANIA,New Zealand to Fiji,New Zealand,Subduction zone / Continental crust (>25 km),Mayor Island,241021,268680,355,-37.28,176.25,4076140,355290,105,141,105
Canada,Canada,Eruption Dated,-410,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,"3,3",Complex,NORTHERN AMERICA,Canada and Western USA,Canada,Subduction zone / Continental crust (>25 km),Meager,320180,9984670,2680,50.63,-123.5,33098932,17662,111,307,1
United States,United States,Eruption Dated,1060,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite, , ,Dacite, , , , ,"31,0",Shield,NORTHERN AMERICA,Canada and Western USA,USA (California),Subduction zone / Continental crust (>25 km),Medicine Lake,323020,9631420,2412,41.611,-121.554,298444215,120685,0,254,0
Japan,Japan,Eruption Dated,-2050,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,"337,4",Others,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Megata,283262,377835,291,39.95,139.73,127463611,1205440,3577,81218,1854
Sudan,Sudan,Eruption Dated,-2950,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Phonolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , ,"16,5",Pyroclastic cone,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northern),Intraplate / Continental crust (>25 km),Meidob Volcanic Field,225050,2505810,2000,15.32,26.47,41236378,24193,5140,5140,5140
