country,country (volcano.csv),evidence_category,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,subregion,tectonic_settings,volcano_name,volcano_number,Area (sq. mi.),elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
Indonesia,Indonesia,Evidence Credible,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Caldera,ASIA (EX. NEAR EAST),Indonesia,Halmahera,Subduction zone / Oceanic crust (< 15 km),Todoko-Ranu,268050,1919440,979,1.25,127.47,245452739,631999,10748,56900,366
Niger,Niger,Evidence Credible,Unknown,Basalt / Picro-Basalt,Trachyte / Trachydacite,Phonolite, , , , , , , ,"9,9",Pyroclastic cone,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northern),Intraplate / Continental crust (>25 km),Todra Volcanic Field,225001,1267000,1780,17.68,8.5,12525094,146935,362,927,362
Tonga,Tonga,Eruption Observed,2014,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"153,3",Caldera,OCEANIA,New Zealand to Fiji,Tonga Islands,Subduction zone / Oceanic crust (< 15 km),Tofua,243060,748,515,-19.75,-175.07,114689,8789,1556,1556,1556
Chad,Chad,Evidence Credible,Unknown,Basalt / Picro-Basalt, , , , , , , , , ,"7,7",Volcanic field,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (northern),Intraplate / Continental crust (>25 km),"Toh, Tarso",225009,1284000,2000,21.33,16.33,9944201,4088,0,0,0
Japan,Japan,Eruption Observed,2004,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Tokachidake,285050,377835,2077,43.418,142.686,127463611,1373264,227,60382,12
Russia,Russia,Eruption Observed,2013,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Shield,C.W. OF IND. STATES,Kamchatka and Mainland Asia,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),Tolbachik,300240,17075200,3611,55.832,160.326,142893540,10487,0,225,0
Chile,Chile,Evidence Credible,-4000,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),Tolhuaca,357093,756950,2739,-38.31,-71.645,16134219,567185,494,13873,82
Colombia,Colombia,Eruption Observed,1943,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"38,3",Stratovolcano,LATIN AMER. & CARIB,South America,Colombia,Subduction zone / Continental crust (>25 km),"Tolima, Nevado del",351030,1138910,5215,4.658,-75.33,43593035,4258333,6563,441916,1660
Guatemala,Guatemala,Evidence Credible,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Toliman,342070,108890,3158,14.612,-91.189,12293545,8130714,67361,703786,5641
Mexico,Mexico,Eruption Dated,-1350,Andesite / Basaltic Andesite,Dacite, , , ,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , , ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Mexico,Subduction zone / Continental crust (>25 km),"Toluca, Nevado de",341070,1972550,4680,19.108,-99.758,107449525,25247342,1240,1626432,126
Cameroon,Cameroon,Evidence Credible,Unknown,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , ,"36,5",Pyroclastic cone,SUB-SAHARAN AFRICA,Africa and Red Sea,Africa (western),Intraplate / Continental crust (>25 km),Tombel Graben,224011,475440,500,4.758,9.717,17340702,4087423,234623,434892,234623
Indonesia,Indonesia,Unrest / Holocene,Unknown,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Caldera,ASIA (EX. NEAR EAST),Indonesia,Sulawesi,Subduction zone / Continental crust (>25 km),Tondano Caldera,266070,1919440,1202,1.23,124.83,245452739,1558655,321308,903706,321308
New Zealand,New Zealand,Eruption Observed,2012,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,New Zealand,Subduction zone / Continental crust (>25 km),Tongariro,241080,268680,1978,-39.157,175.632,4076140,81567,286,7591,27
Iceland,Iceland,Eruption Observed,1477,Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, ,Trachyandesite / Basaltic Trachyandesite, , , , ,"2,9",Stratovolcano,WESTERN EUROPE,Iceland and Arctic Ocean,Iceland (southern),Rift zone / Oceanic crust (< 15 km),Torfajokull,372050,103000,1280,63.892,-19.122,299388,16304,0,7,0
Japan,Japan,Eruption Dated,-4550,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",Subduction zone / Oceanic crust (< 15 km),Toshima,284011,377835,508,34.52,139.279,127463611,5285115,331,13194,330
